DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,SEX,COUNT
5/24/21,6,BURN,BW,Balmaceda,NONE,Northern Cardinal,F,1
5/24/21,5,BURN,BS,Bowden,NONE,Northern Cardinal,F,2
5/24/21,6,CONTROL,ML,Mason,Lashley,Northern Cardinal,F,6
5/25/21,8,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,F,3
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,F,2
5/26/21,9,CONTROL,CM,Marcelletti,Cantarero,Northern Cardinal,F,3
5/26/21,7,BURN,ML,Mason,Lashley,Northern Cardinal,F,1
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Northern Cardinal,F,3
5/28/21,8,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,F,3
5/28/21,9,CONTROL,ML,Lashley,NONE,Northern Cardinal,F,3
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Northern Cardinal,F,2
5/28/21,9,BURN,PT,Tolar,Pinkley,Northern Cardinal,F,2
5/18/21,3,CONTROL,CM,Cantarero,Marcelletti,Northern Cardinal,F ,2
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,M,5
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,M,5
5/18/21,3,CONTROL,ML,Mason,Lashley,Northern Cardinal,M,8
5/18/21,3,BURN,PT,Tolar,Pinkley,Northern Cardinal,M,5
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Northern Cardinal,M,16
5/19/21,1,BURN,BW,Balmaceda,Walford,Northern Cardinal,M,3
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,M,3
5/19/21,3,BURN,ML,Mason,Lashley,Northern Cardinal,M,4
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Northern Cardinal,M,5
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,M,13
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,M,14
5/21/21,3,CONTROL,ML,Mason,Lashley,Northern Cardinal,M,6
5/22/21,5,BURN,BW,Balmaceda,Walford,Northern Cardinal,M,4
5/22/21,6,CONTROL,ML,Mason,NONE,Northern Cardinal,M,5
5/22/21,5,CONTROL,PT,Pinkley,Tolar,Northern Cardinal,M,7
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,M,5
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,M,2
5/23/21,2,CONTROL,CM,Cantarero,Marcelletti,Northern Cardinal,M,19
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Northern Cardinal,M,4
5/24/21,6,BURN,BW,Balmaceda,NONE,Northern Cardinal,M,1
5/24/21,5,BURN,BS,Bowden,NONE,Northern Cardinal,M,5
5/24/21,6,CONTROL,ML,Mason,Lashley,Northern Cardinal,M,4
5/24/21,4,CONTROL,PT,Pinkley,NONE,Northern Cardinal,M,3
5/25/21,8,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,M,18
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,M,5
5/25/21,9,BURN,WR,Wilkin,Ribas,Northern Cardinal,M,1
5/26/21,9,CONTROL,CM,Marcelletti,Cantarero,Northern Cardinal,M,2
5/26/21,7,BURN,ML,Mason,Lashley,Northern Cardinal,M,2
5/26/21,9,CONTROL,BW,NONE,Walford,Northern Cardinal,M,5
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Northern Cardinal,M,1
5/26/21,7,CONTROL,PT,Tolar,Pinkley,Northern Cardinal,M,2
5/26/21,8,CONTROL,WR,Wilkin,Ribas,Northern Cardinal,M,10
5/28/21,7,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,M,5
5/28/21,8,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,M,20
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Northern Cardinal,M,3
