"","Site","Treatment","Trap","Date","Time","Species","Age","Sex","Week","Functional"
"215",1,"C","A",2020-05-24,"11:20","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
"216",1,"C","A",2020-05-24,"12:56","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
"217",1,"C","A",2020-05-24,"14:37","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
"218",1,"C","A",2020-05-27,"14:48","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
"219",1,"C","A",2020-05-28,"12:55","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"220",1,"C","A",2020-05-29,"10:17","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"221",1,"C","A",2020-05-29,"10:55","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"222",1,"C","A",2020-05-30,"16:04","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"223",1,"C","A",2020-05-31,"10:09","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"224",1,"C","A",2020-05-31,"10:28","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"225",1,"C","A",2020-05-31,"13:55","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"226",1,"C","A",2020-05-31,"15:32","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"227",4,"C","C",2020-05-21,"13:36","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
"228",17,"B","A",2020-05-26,"13:21","Northern mockingbird","Adult","Unknown",2020-05-24,"Frugivore"
"229",17,"B","A",2020-05-29,"18:07","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"230",17,"B","A",2020-05-30,"14:08","Northern mockingbird","Adult","Unknown",2020-05-31,"Frugivore"
"231",6,"C","B",2020-05-07,"11:44","Pileated woodpecker","Adult","Unknown",2020-05-10,"Frugivore"
"232",7,"B","A",2020-04-20,"9:50","Red-eyed vireo","Adult","Unknown",2020-04-19,"Frugivore"
"233",16,"B","B",2020-05-11,"11:05","Red-eyed vireo","Adult","Male",2020-05-10,"Frugivore"
"234",4,"C","B",2020-04-27,"20:24","Eastern towhee","Adult","Unknown",2020-04-26,"Frugivore"
"235",4,"C","B",2020-04-27,"20:24","Eastern towhee","Adult","Unknown",2020-04-26,"Frugivore"
"236",1,"B","C",2020-05-23,"11:43","Unknown woodpecker","Unknown","Unknown",2020-05-24,"Frugivore"
"237",6,"C","C",2020-05-28,"16:01","Yellow-breasted chat",NA,NA,2020-05-31,"Frugivore"
"238",7,"C","B",2020-05-15,"11:49","Yellow-breasted chat","Adult","Unknown",2020-05-17,"Frugivore"
"239",7,"C","C",2020-05-22,"9:39","Yellow-breasted chat","Adult","Unknown",2020-05-24,"Frugivore"
"240",7,"B","C",2020-05-07,"17:33","Yellow-throated vireo","Adult","Unknown",2020-05-10,"Frugivore"
"241",8,"C","B",2020-04-21,"11:39","Yellow-throated vireo","Adult","Unknown",2020-04-19,"Frugivore"
